year,v1_days_below_40mm_30d,v1_months,anomaly_days_NovApr,flood_days
2001,107,"5 6 7 8 9 10",7,0
2002,160,"6 7 8 9 10 11",63,0
2003,123,"6 7 8 9 10",38,1
2004,134,"6 7 8 9 10 11",20,0
2005,91,"6 7 8 9 10",29,0
2006,149,"6 7 8 9 10 11",55,0
2007,114,"7 8 9 10",46,0
2008,132,"5 6 7 8 9 10",8,0
2009,124,"6 7 8 9 10",29,3
2010,0,"",9,4
2011,134,"6 7 8 9 10",29,0
2012,149,"6 7 8 9 10 11",0,3
2013,78,"8 9 10",0,0
2014,122,"6 7 8 9 10 11",12,3
2015,159,"6 7 8 9 10 11",6,3
2016,26,"8 9",16,0
2017,69,"7 8 9",1,2
2018,109,"6 7 8 9 10 11",4,2
2019,164,"5 6 7 8 9 10 11",6,4
2020,49,"6 7 8",0,4
2021,26,"7 8",0,0
2022,0,"",0,0
2023,97,"6 8 9 10",10,3
2024,38,"8 9",5,0
2025,1,"8",0,4
