year,v1_days_below_40mm_30d,v1_months,anomaly_days_NovApr,flood_days
2001,98,"5 6 7 8 9 10",7,0
2002,158,"6 7 8 9 10 11",57,0
2003,118,"6 7 8 9 10",44,0
2004,122,"7 8 9 10 11",18,1
2005,73,"6 8 9 10",21,0
2006,148,"6 7 8 9 10 11",53,0
2007,108,"7 8 9 10",45,0
2008,111,"5 6 7 8 9 10",5,0
2009,122,"6 7 8 9 10 11",26,3
2010,0,"",4,5
2011,133,"6 7 8 9 10",21,3
2012,120,"7 8 9 10 11",0,3
2013,78,"8 9 10",0,0
2014,90,"6 8 9 10 11",14,3
2015,150,"6 7 8 9 10 11",1,6
2016,24,"8 9",8,3
2017,77,"7 8 9",20,0
2018,69,"6 7 8 9 11",39,1
2019,147,"5 6 7 8 9 10",17,6
2020,43,"7 8 9",0,5
2021,20,"7 8",0,0
2022,0,"",0,0
2023,142,"6 7 8 9 10 11",20,0
2024,38,"8 9",3,0
2025,14,"7 8",8,2
