year,v1_days_below_40mm_30d,v1_months,anomaly_days_NovApr,flood_days
2001,53,"5 6 7 8 9 10",21,4
2002,152,"6 7 8 9 10 11",0,1
2003,123,"6 7 8 9 10",24,0
2004,96,"6 7 8 9 10",8,0
2005,82,"5 6 8 9 10",8,1
2006,147,"6 7 8 9 10 11",47,3
2007,100,"7 8 9 10",15,1
2008,130,"6 7 8 9 10",0,2
2009,116,"6 7 8 9 10",13,1
2010,0,"",0,6
2011,131,"6 7 8 9 10",0,0
2012,116,"7 8 9 10",16,3
2013,75,"8 9 10",0,3
2014,92,"6 8 9 10 11",0,3
2015,146,"6 7 8 9 10 11",6,2
2016,0,"",1,2
2017,69,"7 8 9",71,0
2018,172,"5 6 7 8 9 10 11",132,3
2019,168,"5 6 7 8 9 10 11",53,3
2020,61,"7 8 9",49,3
2021,50,"5 7 8 9 10",52,0
2022,18,"7 8",67,0
2023,130,"6 7 8 9 10 11",59,0
2024,62,"6 7 8 9 10",23,0
2025,8,"7 8",39,0
