year,v1_days_below_40mm_30d,v1_months,anomaly_days_NovApr,flood_days
2001,207,"4 5 6 7 8 9 10 11",11,2
2002,204,"4 5 6 7 8 9 10 11",24,0
2003,206,"4 5 6 7 8 9 10 11",0,1
2004,202,"4 5 6 7 8 9 10 11",36,2
2005,193,"5 6 7 8 9 10 11",28,0
2006,184,"5 6 7 8 9 10 11 12",17,3
2007,189,"2 5 6 7 8 9 10 11",24,2
2008,200,"5 6 7 8 9 10 11",0,4
2009,224,"4 5 6 7 8 9 10 11",11,2
2010,97,"4 6 7 8 9 10",54,6
2011,196,"5 6 7 8 9 10 11 12",0,1
2012,208,"4 5 6 7 8 9 10 11 12",13,0
2013,126,"4 5 7 8 9 10 11",3,6
2014,201,"5 6 7 8 9 10 11",32,0
2015,248,"4 5 6 7 8 9 10 11 12",65,3
2016,228,"4 5 6 7 8 9 10 11 12",15,1
2017,167,"5 6 7 8 9 10",3,3
2018,203,"4 5 6 7 8 9 10 11",0,4
2019,188,"5 6 7 8 9 10 11 12",10,0
2020,156,"5 6 7 8 9 10 11",0,0
2021,178,"5 6 7 8 9 10",0,12
2022,106,"5 6 7 8 9",0,5
2023,188,"5 6 7 8 9 10 11",11,3
2024,178,"5 6 7 8 9 10",33,3
2025,131,"6 7 8 9 10",3,4
